name,type,length_m,start_coord,end_coord
Unnamed Road,primary_link,93,"121.072224, 14.664474","121.071439, 14.664820"
Unnamed Road,primary_link,68,"121.070857, 14.664789","121.071455, 14.664587"
Tandang Sora Avenue,primary,5,"121.074367, 14.663175","121.074335, 14.663210"
Unnamed Road,primary_link,55,"121.069830, 14.665800","121.070269, 14.665932"
Luzon Avenue,primary,47,"121.069830, 14.665800","121.069979, 14.665421"
Commonwealth Avenue,primary,43,"121.070361, 14.665547","121.069979, 14.665421"
Commonwealth Avenue,primary,134,"121.070361, 14.665547","121.069355, 14.664837"
Commonwealth Avenue,primary,201,"121.066431, 14.662920","121.064887, 14.661894"
Central Avenue,secondary,479,"121.064200, 14.661837","121.059749, 14.661924"
Central Avenue,secondary,52,"121.064200, 14.661837","121.064338, 14.661509"
Redeemer Street,unclassified,114,"121.060951, 14.664716","121.060922, 14.665743"
Saint John Street,unclassified,140,"121.060951, 14.664716","121.059654, 14.664741"
Redeemer Street,unclassified,120,"121.060951, 14.664716","121.060933, 14.663629"
Saint Joseph Street,residential,142,"121.059654, 14.664741","121.059741, 14.663462"
Saint Joseph Street,residential,62,"121.059654, 14.664741","121.059747, 14.665254"
Saint John Street,unclassified,140,"121.059654, 14.664741","121.060951, 14.664716"
Mactan Street,unclassified,19,"121.076115, 14.659698","121.076274, 14.659773"
Tandang Sora Avenue,primary,324,"121.076115, 14.659698","121.074224, 14.657565"
Unnamed Road,residential,147,"121.070519, 14.647278","121.070720, 14.646035"
Carlos P. Garcia Avenue,secondary,306,"121.070519, 14.647278","121.073122, 14.648255"
Carlos P. Garcia Avenue,secondary,167,"121.070519, 14.647278","121.068968, 14.647203"
Mactan Street,unclassified,19,"121.076274, 14.659773","121.076115, 14.659698"
Mactan Street,unclassified,38,"121.076274, 14.659773","121.076579, 14.659957"
Tandang Sora Avenue,primary,300,"121.076274, 14.659773","121.075102, 14.662222"
Commonwealth Avenue,primary,430,"121.064342, 14.661010","121.067662, 14.663178"
Ylanan Street,unclassified,239,"121.064342, 14.661010","121.064843, 14.658988"
Eugenio Street,residential,58,"121.061635, 14.645927","121.062164, 14.646037"
Eugenio Street,residential,78,"121.061635, 14.645927","121.061775, 14.645233"
"Eugenio Street, Kabalitang Street",residential,185,"121.061635, 14.645927","121.061411, 14.644896"
V. Francisco Street,residential,100,"121.062164, 14.646037","121.062520, 14.645200"
Eugenio Street,residential,58,"121.062164, 14.646037","121.061635, 14.645927"
S. Salvador Street,residential,62,"121.062829, 14.646356","121.062690, 14.646903"
I. Francisco Alley,residential,79,"121.062829, 14.646356","121.062111, 14.646181"
V. Francisco Street,residential,16,"121.062111, 14.646181","121.062164, 14.646037"
I. Francisco Alley,residential,79,"121.062111, 14.646181","121.062829, 14.646356"
P. Francisco Street,residential,51,"121.061449, 14.644314","121.060973, 14.644281"
Kabalitang Street,residential,64,"121.061449, 14.644314","121.061411, 14.644896"
Kabalitang Street,residential,60,"121.061449, 14.644314","121.061507, 14.643769"
Ylanan Street,unclassified,146,"121.064773, 14.656259","121.064800, 14.657577"
V. Manansala Street,residential,281,"121.064655, 14.647683","121.064566, 14.645155"
Carlos P. Garcia Avenue,secondary,40,"121.064655, 14.647683","121.065029, 14.647727"
Carlos P. Garcia Avenue,secondary,29,"121.064655, 14.647683","121.064384, 14.647680"
Mahusay Street,residential,35,"121.057019, 14.648796","121.057341, 14.648847"
Mahusay Street,residential,6,"121.057019, 14.648796","121.056961, 14.648789"
Maginhawa Street,tertiary,53,"121.057019, 14.648796","121.056919, 14.649265"
Saint Joseph Street,residential,93,"121.059749, 14.661924","121.059753, 14.662765"
Central Avenue,secondary,68,"121.059749, 14.661924","121.059110, 14.661937"
Central Avenue,secondary,479,"121.059749, 14.661924","121.064200, 14.661837"
Magsaysay Avenue,unclassified,121,"121.072738, 14.657556","121.071606, 14.657553"
Magsaysay Avenue,unclassified,146,"121.072738, 14.657556","121.074099, 14.657563"
F. Ma. Guerrero Street,unclassified,210,"121.072738, 14.657556","121.072717, 14.659448"
Maayusin Street,residential,9,"121.056984, 14.651678","121.056990, 14.651768"
Africa Street,unclassified,153,"121.071692, 14.652534","121.071660, 14.653913"
Quirino Avenue,unclassified,327,"121.071692, 14.652534","121.068644, 14.652492"
Quirino Avenue,unclassified,122,"121.071692, 14.652534","121.072830, 14.652558"
Carlos P. Garcia Avenue,secondary,162,"121.060838, 14.647130","121.062323, 14.647342"
Carlos P. Garcia Avenue,secondary,38,"121.060838, 14.647130","121.060485, 14.647174"
Unnamed Road,tertiary_link,17,"121.061565, 14.654944","121.061572, 14.654785"
University Avenue,tertiary,338,"121.061565, 14.654944","121.058421, 14.654892"
B. Gonzales Street,residential,20,"121.074593, 14.642448","121.074761, 14.642535"
B. Gonzales Street,residential,158,"121.074593, 14.642448","121.073367, 14.641686"
Katipunan Avenue,primary,140,"121.074593, 14.642448","121.074538, 14.641185"
Pardo de Tavera Street,unclassified,304,"121.065984, 14.647984","121.066821, 14.650377"
Carlos P. Garcia Avenue,secondary,219,"121.065984, 14.647984","121.067873, 14.647265"
Carlos P. Garcia Avenue,secondary,21,"121.065984, 14.647984","121.065781, 14.647959"
M. Roxas Avenue,tertiary,107,"121.071660, 14.653913","121.072660, 14.653933"
Commonwealth Avenue,primary,65,"121.058196, 14.657443","121.057680, 14.657127"
Unnamed Road,primary_link,134,"121.058196, 14.657443","121.058954, 14.657416"
Tandang Sora Avenue,residential,21,"121.071254, 14.664407","121.071455, 14.664443"
Tandang Sora Avenue,residential,72,"121.071254, 14.664407","121.070612, 14.664221"
Road 31,residential,6,"121.071254, 14.664407","121.071256, 14.664352"
Unnamed Road,tertiary,13,"121.075948, 14.653496","121.075955, 14.653383"
H. Ventura Street,tertiary,154,"121.075948, 14.653496","121.074517, 14.653599"
Unnamed Road,tertiary,9,"121.076094, 14.653450","121.076043, 14.653517"
H. Ventura Street,tertiary,38,"121.076045, 14.653370","121.076392, 14.653277"
Unnamed Road,tertiary,10,"121.076045, 14.653370","121.076094, 14.653450"
Unnamed Road,tertiary,10,"121.075955, 14.653383","121.076045, 14.653370"
Carriedo Street,residential,253,"121.076043, 14.653517","121.077663, 14.655156"
Unnamed Road,tertiary,11,"121.076043, 14.653517","121.075948, 14.653496"
H. Ventura Street,tertiary,92,"121.076392, 14.653277","121.077215, 14.653032"
L. Wood Street,residential,7,"121.076392, 14.653277","121.076416, 14.653338"
Unnamed Road,residential,24,"121.063648, 14.641143","121.063430, 14.641068"
Unnamed Road,residential,44,"121.063648, 14.641143","121.064024, 14.641301"
Unnamed Road,residential,141,"121.063648, 14.641143","121.064713, 14.641256"
Unnamed Road,residential,44,"121.064024, 14.641301","121.063648, 14.641143"
Unnamed Road,residential,24,"121.063430, 14.641068","121.063648, 14.641143"
S. Flores Street,residential,61,"121.063430, 14.641068","121.063119, 14.641521"
Bagobo Street,residential,90,"121.078542, 14.651173","121.078815, 14.650405"
Fitzgerald Street,residential,112,"121.078616, 14.652849","121.077962, 14.653639"
Arciaga Street,residential,46,"121.078616, 14.652849","121.078268, 14.652605"
Fitzgerald Street,residential,8,"121.079860, 14.652150","121.079901, 14.652080"
H. Ventura Street,tertiary,92,"121.079860, 14.652150","121.079038, 14.652059"
Carriedo Street,residential,245,"121.077663, 14.655156","121.079309, 14.654902"
Carriedo Street,residential,253,"121.077663, 14.655156","121.076043, 14.653517"
Stroebe Street,residential,74,"121.077663, 14.655156","121.078032, 14.654611"
Arciaga Street,residential,46,"121.078268, 14.652605","121.078616, 14.652849"
H. Ventura Street,tertiary,126,"121.078268, 14.652605","121.077236, 14.653099"
Arciaga Street,residential,8,"121.078268, 14.652605","121.078209, 14.652551"
Maayusin Extension,residential,36,"121.057007, 14.652092","121.056990, 14.651768"
Maayusin Extension,residential,40,"121.057007, 14.652092","121.056976, 14.652455"
Makatarungan,residential,261,"121.057007, 14.652092","121.059136, 14.651137"
Unnamed Road,residential,31,"121.075077, 14.665190","121.074785, 14.665196"
Unnamed Road,residential,69,"121.075077, 14.665190","121.075130, 14.665814"
Unnamed Road,residential,190,"121.075077, 14.665190","121.074999, 14.663478"
Unnamed Road,residential,31,"121.074785, 14.665196","121.075077, 14.665190"
Capitol Hills Drive,tertiary,202,"121.074999, 14.663478","121.076875, 14.663631"
Capitol Hills Drive,tertiary,78,"121.074999, 14.663478","121.074335, 14.663210"
Unnamed Road,residential,190,"121.074999, 14.663478","121.075077, 14.665190"
Unnamed Road,residential,69,"121.075130, 14.665814","121.075077, 14.665190"
Mactan Street,unclassified,10,"121.078508, 14.660725","121.078586, 14.660789"
"Osmeña Avenue, M. Roxas Avenue",tertiary,256,"121.072824, 14.654024","121.072755, 14.656161"
M. Roxas Avenue,tertiary,394,"121.064957, 14.653821","121.068623, 14.653870"
A. Maria Regidor Street,unclassified,22,"121.072773, 14.653833","121.072824, 14.654024"
A. Maria Regidor Street,unclassified,29,"121.072773, 14.653833","121.072800, 14.653571"
M. V. del Rosario Street,residential,107,"121.070786, 14.641644","121.070314, 14.642491"
N. Reyes Street,residential,177,"121.070786, 14.641644","121.072372, 14.642020"
Unnamed Road,secondary_link,39,"121.060485, 14.647174","121.060131, 14.647103"
Carlos P. Garcia Avenue,secondary,38,"121.060485, 14.647174","121.060838, 14.647130"
Carlos P. Garcia Avenue,secondary,28,"121.060485, 14.647174","121.060241, 14.647266"
Lieutenant J. Francisco Street,residential,18,"121.064104, 14.644272","121.064080, 14.644436"
Katipunan Avenue,primary,69,"121.074296, 14.647677","121.074280, 14.647055"
Rielinton Street,residential,396,"121.074296, 14.647677","121.071328, 14.646296"
Tandang Sora Avenue,residential,3,"121.071455, 14.664443","121.071489, 14.664445"
Tandang Sora Avenue,residential,21,"121.071455, 14.664443","121.071254, 14.664407"
Tandang Sora Avenue,primary,55,"121.072213, 14.664331","121.072662, 14.664077"
Unnamed Road,primary_link,86,"121.071455, 14.664587","121.072213, 14.664331"
Unnamed Road,primary_link,17,"121.071455, 14.664587","121.071455, 14.664443"
Commonwealth Avenue,primary,48,"121.070268, 14.664948","121.070630, 14.665208"
Unnamed Road,primary_link,68,"121.070268, 14.664948","121.070857, 14.664789"
Unnamed Road,primary_link,94,"121.071439, 14.664820","121.070857, 14.664789"
Unnamed Road,primary_link,100,"121.071439, 14.664820","121.070966, 14.665459"
Commonwealth Avenue,primary,262,"121.069979, 14.665421","121.067991, 14.664050"
Tandang Sora Avenue,residential,76,"121.069928, 14.664024","121.070612, 14.664221"
Road 1,residential,122,"121.069928, 14.664024","121.070029, 14.662923"
Tandang Sora Avenue,residential,115,"121.069928, 14.664024","121.068865, 14.663953"
Tandang Sora Avenue,primary,136,"121.075102, 14.662222","121.074367, 14.663175"
Tandang Sora Avenue,primary,135,"121.075102, 14.662222","121.074367, 14.663175"
Tandang Sora Avenue,primary,20,"121.072662, 14.664077","121.072831, 14.663992"
University Valley Street,residential,88,"121.072831, 14.663992","121.072517, 14.663506"
Tandang Sora Avenue,primary,613,"121.072831, 14.663992","121.076115, 14.659698"
University Valley Street,residential,88,"121.072517, 14.663506","121.072831, 14.663992"
Tandang Sora Avenue,secondary,80,"121.067991, 14.664050","121.067454, 14.664546"
Commonwealth Avenue,primary,165,"121.067991, 14.664050","121.066727, 14.663207"
Commonwealth Avenue,primary,46,"121.068678, 14.664401","121.068339, 14.664146"
Commonwealth Avenue,primary,83,"121.068678, 14.664401","121.067991, 14.664050"
Commonwealth Avenue,primary,45,"121.070630, 14.665208","121.070966, 14.665459"
Unnamed Road,primary_link,228,"121.068830, 14.664132","121.070630, 14.665208"
Commonwealth Avenue,primary,45,"121.066727, 14.663207","121.066431, 14.662920"
Kalaw Hill,residential,14,"121.066727, 14.663207","121.066653, 14.663311"
Unnamed Road,primary_link,16,"121.068267, 14.663916","121.068330, 14.663783"
Unnamed Road,primary_link,9,"121.068267, 14.663916","121.068203, 14.663977"
Unnamed Road,primary_link,8,"121.068203, 14.663977","121.068128, 14.664008"
Unnamed Road,primary_link,11,"121.068203, 14.663977","121.068096, 14.663987"
Commonwealth Avenue,primary,215,"121.068096, 14.663987","121.066431, 14.662920"
Unnamed Road,primary_link,98,"121.067662, 14.663178","121.068330, 14.663783"
Commonwealth Avenue,primary,155,"121.067662, 14.663178","121.068865, 14.663953"
Commonwealth Avenue,primary,129,"121.058954, 14.657416","121.059941, 14.658079"
Commonwealth Avenue,primary,178,"121.057585, 14.656508","121.058954, 14.657416"
Unnamed Road,primary_link,129,"121.057585, 14.656508","121.057680, 14.657127"
Pook Palaris Street,residential,54,"121.072471, 14.663049","121.072947, 14.662870"
Juan Luna Street,residential,55,"121.072471, 14.663049","121.072947, 14.662870"
Juan Luna Street,residential,78,"121.072471, 14.663049","121.071763, 14.662893"
Peace Valley Street,residential,118,"121.071573, 14.663379","121.071489, 14.664445"
Pook Palaris Street,residential,67,"121.073494, 14.662184","121.073210, 14.662711"
E. Aguinaldo Street,residential,42,"121.073494, 14.662184","121.073865, 14.662323"
E. Aguinaldo Street,residential,78,"121.073494, 14.662184","121.072770, 14.662220"
Unnamed Road,unclassified,8,"121.077479, 14.660431","121.077472, 14.660505"
Mactan Street,unclassified,118,"121.077479, 14.660431","121.078508, 14.660725"
Unnamed Road,unclassified,8,"121.077472, 14.660505","121.077479, 14.660431"
Mactan Street,unclassified,108,"121.077472, 14.660505","121.076620, 14.660039"
Unnamed Road,residential,2,"121.074880, 14.659817","121.074882, 14.659840"
Unnamed Road,residential,30,"121.074880, 14.659817","121.074852, 14.659548"
Saint Francis Street,residential,81,"121.074880, 14.659817","121.075634, 14.659811"
Unnamed Road,residential,98,"121.074452, 14.661782","121.074774, 14.660950"
Pook Palaris Street,residential,24,"121.072947, 14.662870","121.073141, 14.662755"
Juan Luna Street,residential,24,"121.072947, 14.662870","121.073141, 14.662755"
Juan Luna Street,residential,55,"121.072947, 14.662870","121.072471, 14.663049"
E. Aguinaldo Street,residential,42,"121.073865, 14.662323","121.073494, 14.662184"
Commonwealth Avenue,primary,187,"121.068865, 14.663953","121.070268, 14.664948"
Tandang Sora Avenue,residential,115,"121.068865, 14.663953","121.069928, 14.664024"
Commonwealth Avenue,primary,574,"121.059941, 14.658079","121.064342, 14.661010"
Magsaysay Avenue,unclassified,145,"121.059941, 14.658079","121.061094, 14.657679"
Carlos P. Garcia Avenue,secondary,431,"121.059136, 14.651137","121.060085, 14.647397"
Carlos P. Garcia Avenue,secondary,407,"121.059136, 14.651137","121.058424, 14.654732"
Makatarungan,residential,261,"121.059136, 14.651137","121.057007, 14.652092"
Quirino Avenue,unclassified,141,"121.074140, 14.652584","121.072830, 14.652558"
Katipunan Avenue,tertiary,472,"121.074140, 14.652584","121.074150, 14.648335"
Carlos P. Garcia Avenue,secondary,111,"121.074150, 14.648335","121.073122, 14.648255"
Katipunan Avenue,tertiary,111,"121.074147, 14.653590","121.074140, 14.652584"
Shuster Street,tertiary,14,"121.074147, 14.653590","121.074282, 14.653590"
Unnamed Road,tertiary_link,17,"121.061572, 14.654785","121.061565, 14.654944"
University Avenue,tertiary,81,"121.061572, 14.654785","121.062333, 14.654799"
Unnamed Road,residential,3,"121.069763, 14.644689","121.069785, 14.644713"
"Harding Rosas, Aguinaldo Street",residential,392,"121.069763, 14.644689","121.068681, 14.642168"
Aguinaldo Street,residential,371,"121.069763, 14.644689","121.067873, 14.647265"
Unnamed Road,primary_link,27,"121.068339, 14.664146","121.068267, 14.663916"
Commonwealth Avenue,primary,27,"121.068339, 14.664146","121.068128, 14.664008"
Castañeda Street,residential,160,"121.065700, 14.646519","121.065781, 14.647959"
Carlos P. Garcia Avenue,secondary,21,"121.065781, 14.647959","121.065984, 14.647984"
Carlos P. Garcia Avenue,secondary,45,"121.065781, 14.647959","121.065388, 14.647802"
Castañeda Street,residential,160,"121.065781, 14.647959","121.065700, 14.646519"
Central Avenue,secondary,68,"121.059110, 14.661937","121.059749, 14.661924"
Central Avenue,secondary,210,"121.059110, 14.661937","121.057165, 14.661993"
Central Avenue,secondary,210,"121.057165, 14.661993","121.059110, 14.661937"
Unnamed Road,tertiary_link,22,"121.064870, 14.653650","121.064957, 14.653821"
E. de los Santos Street,unclassified,76,"121.064870, 14.653650","121.065169, 14.653030"
Katipunan Avenue,primary,79,"121.074517, 14.653599","121.074539, 14.654311"
L. Wood Street,residential,7,"121.076416, 14.653338","121.076392, 14.653277"
L. Wood Street,residential,222,"121.076416, 14.653338","121.077982, 14.654602"
H. Ventura Street,tertiary,36,"121.076416, 14.653338","121.076094, 14.653450"
H. Ventura Street,tertiary,107,"121.078209, 14.652551","121.078972, 14.651981"
Arciaga Street,residential,8,"121.078209, 14.652551","121.078268, 14.652605"
Heizer Street,residential,11,"121.079038, 14.652059","121.078972, 14.651981"
H. Ventura Street,tertiary,106,"121.079038, 14.652059","121.078268, 14.652605"
Pansol Avenue,residential,75,"121.074479, 14.647370","121.074874, 14.647926"
Katipunan Avenue,primary,25,"121.074479, 14.647370","121.074479, 14.647598"
Pansol Avenue,residential,114,"121.074874, 14.647926","121.075632, 14.648653"
Pansol Avenue,residential,56,"121.074874, 14.647926","121.074479, 14.647598"
Katipunan Avenue,primary,82,"121.074479, 14.647598","121.074493, 14.648336"
Pansol Avenue,residential,319,"121.075727, 14.648574","121.077820, 14.650610"
Ibanag Street,residential,128,"121.075727, 14.648574","121.075710, 14.647422"
V. Gonzales Street,residential,46,"121.061507, 14.643769","121.061930, 14.643693"
Kabalitang Street,residential,60,"121.061507, 14.643769","121.061449, 14.644314"
Kabalitang Street,residential,257,"121.061507, 14.643769","121.061625, 14.641468"
Rielinton Street,residential,396,"121.071328, 14.646296","121.074296, 14.647677"
Marilag Street,residential,8,"121.057067, 14.651755","121.056990, 14.651768"
Mahusay Street,residential,35,"121.057341, 14.648847","121.057019, 14.648796"
Maningning Street,residential,10,"121.058215, 14.641567","121.058121, 14.641560"
Maningning Street,residential,14,"121.059801, 14.641690","121.059931, 14.641701"
Unnamed Road,primary_link,127,"121.069355, 14.664837","121.068830, 14.664132"
Commonwealth Avenue,primary,87,"121.069355, 14.664837","121.068678, 14.664401"
Unnamed Road,primary_link,166,"121.074471, 14.646928","121.074307, 14.648280"
Katipunan Avenue,primary,49,"121.074471, 14.646928","121.074479, 14.647370"
"Harding Rosas, Aguinaldo Street",residential,392,"121.068681, 14.642168","121.069763, 14.644689"
Redeemer Road,unclassified,62,"121.058478, 14.662579","121.059005, 14.662749"
Unnamed Road,residential,88,"121.062029, 14.642903","121.061930, 14.643693"
V. Gonzales Street,residential,52,"121.061930, 14.643693","121.062410, 14.643610"
V. Gonzales Street,residential,46,"121.061930, 14.643693","121.061507, 14.643769"
Unnamed Road,residential,88,"121.061930, 14.643693","121.062029, 14.642903"
Unnamed Road,residential,76,"121.063517, 14.648112","121.063933, 14.648640"
M. Dela Cruz Street,residential,97,"121.063683, 14.643338","121.062883, 14.642929"
Tiburcio Street,residential,39,"121.062883, 14.642929","121.063076, 14.642629"
M. Dela Cruz Street,residential,97,"121.062883, 14.642929","121.063683, 14.643338"
Tiburcio Street,residential,77,"121.062883, 14.642929","121.062816, 14.643573"
Unnamed Road,residential,141,"121.064713, 14.641256","121.063648, 14.641143"
Unnamed Road,residential,83,"121.056168, 14.652666","121.056939, 14.652715"
Maayusin Extension,residential,29,"121.056939, 14.652715","121.056976, 14.652455"
Maayusin Extension,residential,105,"121.056939, 14.652715","121.056932, 14.653657"
Unnamed Road,residential,83,"121.056939, 14.652715","121.056168, 14.652666"
Ricarte Street,residential,58,"121.075354, 14.659294","121.074806, 14.659293"
Unnamed Road,residential,7,"121.074848, 14.660591","121.074838, 14.660653"
Unnamed Road,residential,21,"121.074848, 14.660591","121.074872, 14.660400"
Unnamed Road,residential,49,"121.074848, 14.660591","121.075311, 14.660607"
Unnamed Road,residential,49,"121.075311, 14.660607","121.074848, 14.660591"
R. P. de Guzman Street,unclassified,34,"121.060783, 14.656936","121.061102, 14.656945"
Magiting Street,tertiary,31,"121.060131, 14.647103","121.059943, 14.646893"
Saint Joseph Street,residential,62,"121.059747, 14.665254","121.059654, 14.664741"
Road 31,residential,6,"121.071256, 14.664352","121.071254, 14.664407"
Vic Valley Street,residential,9,"121.071983, 14.664226","121.071974, 14.664311"
Mactan Street,unclassified,152,"121.079927, 14.661096","121.078542, 14.660843"
Unnamed Road,residential,98,"121.074774, 14.660950","121.074452, 14.661782"
Unnamed Road,residential,33,"121.074774, 14.660950","121.074838, 14.660653"
Fatima 2 Street,residential,34,"121.074774, 14.660950","121.074458, 14.660955"
Fatima 2 Street,residential,34,"121.074458, 14.660955","121.074774, 14.660950"
Katipunan Avenue,primary,19,"121.074306, 14.648511","121.074308, 14.648335"
Unnamed Road,primary_link,25,"121.074306, 14.648511","121.074150, 14.648335"
A. D. Williams Street,residential,7,"121.077215, 14.653032","121.077236, 14.653099"
H. Ventura Street,tertiary,121,"121.077215, 14.653032","121.078209, 14.652551"
H. Ventura Street,tertiary,92,"121.077236, 14.653099","121.076416, 14.653338"
A. D. Williams Street,residential,7,"121.077236, 14.653099","121.077215, 14.653032"
A. D. Williams Street,residential,98,"121.077236, 14.653099","121.077962, 14.653639"
Fitzgerald Street,residential,8,"121.079901, 14.652080","121.079860, 14.652150"
Pansol Avenue,residential,158,"121.078855, 14.651620","121.077820, 14.650610"
Heizer Street,residential,11,"121.078972, 14.651981","121.079038, 14.652059"
H. Ventura Street,tertiary,104,"121.078972, 14.651981","121.079901, 14.652080"
Heizer Street,residential,195,"121.078972, 14.651981","121.077701, 14.650723"
Unnamed Road,residential,3,"121.069785, 14.644713","121.069763, 14.644689"
Unnamed Road,primary_link,16,"121.068330, 14.663783","121.068267, 14.663916"
Unnamed Road,primary_link,66,"121.068330, 14.663783","121.068830, 14.664132"
Unnamed Road,primary_link,15,"121.068128, 14.664008","121.067991, 14.664050"
Commonwealth Avenue,primary,4,"121.068128, 14.664008","121.068096, 14.663987"
Unnamed Road,unclassified,87,"121.067322, 14.663763","121.066653, 14.663311"
Kalaw Hill,residential,4,"121.066653, 14.663311","121.066627, 14.663347"
Kalaw Hill,residential,14,"121.066653, 14.663311","121.066727, 14.663207"
Unnamed Road,unclassified,87,"121.066653, 14.663311","121.067322, 14.663763"
Pook Palaris Street,residential,8,"121.073210, 14.662711","121.073141, 14.662755"
Pook Palaris Street,residential,67,"121.073210, 14.662711","121.073494, 14.662184"
E. Aguinaldo Street,residential,44,"121.073210, 14.662711","121.073495, 14.662986"
E. Aguinaldo Street,residential,44,"121.073495, 14.662986","121.073210, 14.662711"
Unnamed Road,residential,6,"121.062321, 14.648734","121.062258, 14.648734"
Emilio Jacinto Street,unclassified,124,"121.062321, 14.648734","121.062332, 14.647615"
Emilio Jacinto Street,unclassified,96,"121.062321, 14.648734","121.062323, 14.649605"
Tandang Sora Avenue,residential,54,"121.071489, 14.664445","121.071974, 14.664311"
Peace Valley Street,residential,118,"121.071489, 14.664445","121.071573, 14.663379"
Magsaysay Avenue,unclassified,146,"121.074099, 14.657563","121.072738, 14.657556"
Magsaysay Avenue,unclassified,13,"121.074099, 14.657563","121.074224, 14.657565"
Dagohoy Street,residential,194,"121.074099, 14.657563","121.073994, 14.659295"
Tandang Sora Avenue,secondary,5,"121.067413, 14.664579","121.067454, 14.664546"
Tandang Sora Avenue,secondary,162,"121.067413, 14.664579","121.066067, 14.665246"
Demetria Reynaldo Street,residential,51,"121.067607, 14.664734","121.067926, 14.665074"
Demetria Reynaldo Street,residential,27,"121.067607, 14.664734","121.067413, 14.664579"
Saint Mary Street,residential,41,"121.058980, 14.662381","121.059005, 14.662749"
Unnamed Road,residential,147,"121.070720, 14.646035","121.070519, 14.647278"
Tandang Sora Avenue,primary,268,"121.074335, 14.663210","121.072224, 14.664474"
Capitol Hills Drive,tertiary,78,"121.074335, 14.663210","121.074999, 14.663478"
Maginhawa Street,tertiary,120,"121.057038, 14.648216","121.057501, 14.647260"
Mahusay Street,residential,6,"121.056961, 14.648789","121.057019, 14.648796"
Maginhawa Street,tertiary,64,"121.056961, 14.648789","121.057038, 14.648216"
Maginhawa Street,tertiary,258,"121.056919, 14.649265","121.056153, 14.651395"
Maginhawa Street,tertiary,53,"121.056919, 14.649265","121.056961, 14.648789"
Carlos P. Garcia Avenue,secondary,5,"121.062376, 14.647355","121.062323, 14.647342"
Carlos P. Garcia Avenue,secondary,210,"121.062376, 14.647355","121.064290, 14.647690"
Emilio Jacinto Street,unclassified,29,"121.062376, 14.647355","121.062332, 14.647615"
Emilio Jacinto Street,unclassified,124,"121.062332, 14.647615","121.062321, 14.648734"
Emilio Jacinto Street,unclassified,30,"121.062332, 14.647615","121.062323, 14.647342"
Unnamed Road,residential,6,"121.062258, 14.648734","121.062321, 14.648734"
Maranao Street,residential,6,"121.075536, 14.646190","121.075540, 14.646248"
Mangyan Street,residential,67,"121.075536, 14.646190","121.076156, 14.646096"
Maranao Street,residential,6,"121.075540, 14.646248","121.075536, 14.646190"
Mangyan Street,residential,114,"121.075540, 14.646248","121.074483, 14.646348"
Maranao Street,residential,564,"121.075540, 14.646248","121.079549, 14.649465"
Ibanag Street,residential,133,"121.075540, 14.646248","121.075710, 14.647422"
Katipunan Avenue,primary,8,"121.074492, 14.646275","121.074483, 14.646348"
Mangyan Street,residential,112,"121.074492, 14.646275","121.075536, 14.646190"
Mangyan Street,residential,115,"121.076156, 14.646096","121.077020, 14.645509"
Mangyan Street,residential,69,"121.076156, 14.646096","121.075540, 14.646248"
Marymount,residential,6,"121.079312, 14.645581","121.079265, 14.645625"
Katipunan Avenue,primary,25,"121.074307, 14.648280","121.074303, 14.648054"
Commonwealth Avenue,primary,14,"121.070473, 14.665618","121.070361, 14.665547"
Luzon Avenue,primary,41,"121.070473, 14.665618","121.070269, 14.665932"
Unnamed Road,unclassified,113,"121.064531, 14.658624","121.063862, 14.658992"
